"Id","Latitude","Longitude","UTC","DeviceName","DeviceId","Message","recordingEffort","DriftName","DeploymentSite","seadepth"
3932227972,35.044917,-120.70735,2022-06-24 19:59:01,"OPPS_010_D",NA,NA,TRUE,"OPPS_010","MBY",39
3932227973,35.026444,-120.425762,2022-06-24 20:39:59,"OPPS_010_R",NA,NA,TRUE,"OPPS_010","MBY",-191
