"Id","Latitude","Longitude","UTC","DeviceName","DeviceId","Message","recordingEffort","knots","DriftName","DeploymentSite","bearing","seadepth"
3508113671,30.92933,-117.38373,2018-11-22 08:27:32,"A","0-2569760","UNLIMITED-TRACK",FALSE,NA,"CCES_023","BCN",327.115706275975,1543
3508113672,30.92953,-117.38388,2018-11-22 08:30:34,"B","0-2573570","UNLIMITED-TRACK",TRUE,NA,"CCES_023","BCN",336.177129690017,1543
3508113673,30.93158,-117.38493,2018-11-22 08:57:14,"A","0-2569760","UNLIMITED-TRACK",TRUE,0.298898335162627,"CCES_023","BCN",12.1617381314192,1543
3508113674,30.93162,-117.38492,2018-11-22 09:02:05,"B","0-2573570","UNLIMITED-TRACK",TRUE,0.258666884134293,"CCES_023","BCN",332.231909258124,1543
3508113675,30.93347,-117.38605,2018-11-22 09:27:14,"A","0-2569760","UNLIMITED-TRACK",TRUE,0.253598698070157,"CCES_023","BCN",328.680289450056,1543
3508113676,30.93381,-117.38629,2018-11-22 09:32:05,"B","0-2573570","UNLIMITED-TRACK",TRUE,0.297310358207409,"CCES_023","BCN",332.60952632906,1543
3508113677,30.93564,-117.38739,2018-11-22 09:58:24,"A","0-2569760","UNLIMITED-TRACK",TRUE,0.282747536237407,"CCES_023","BCN",323.540970623447,1543
3508113678,30.93571,-117.38745,2018-11-22 09:59:23,"B","0-2573570","UNLIMITED-TRACK",TRUE,0.281928522633716,"CCES_023","BCN",331.556451740328,1543
3508113679,30.93754,-117.3886,2018-11-22 10:28:20,"A","0-2569760","UNLIMITED-TRACK",TRUE,0.259569305769788,"CCES_023","BCN",332.941965657932,1543
3508113680,30.93781,-117.38876,2018-11-22 10:33:05,"B","0-2573570","UNLIMITED-TRACK",TRUE,0.253628138357509,"CCES_023","BCN",327.720684513194,1543
3508113681,30.93912,-117.38972,2018-11-22 10:57:58,"A","0-2569760","UNLIMITED-TRACK",TRUE,0.223987947046411,"CCES_023","BCN",327.917059241015,1543
3508113682,30.93923,-117.3898,2018-11-22 11:00:33,"B","0-2573570","UNLIMITED-TRACK",TRUE,0.21916882101419,"CCES_023","BCN",331.167603994546,1543
3508113683,30.94042,-117.39056,2018-11-22 11:26:49,"A","0-2569760","UNLIMITED-TRACK",TRUE,0.18489505992631,"CCES_023","BCN",304.841507797413,1543
3508113684,30.94048,-117.39066,2018-11-22 11:29:00,"B","0-2573570","UNLIMITED-TRACK",TRUE,0.18311482748553,"CCES_023","BCN",326.772200414872,1543
3508113685,30.94173,-117.39161,2018-11-22 11:57:51,"A","0-2569760","UNLIMITED-TRACK",TRUE,0.183923366470165,"CCES_023","BCN",331.688040555181,1594
3508113686,30.94181,-117.39166,2018-11-22 12:00:04,"B","0-2573570","UNLIMITED-TRACK",TRUE,0.182877835581882,"CCES_023","BCN",323.587018086118,1594
3508113687,30.94285,-117.39255,2018-11-22 12:27:51,"A","0-2569760","UNLIMITED-TRACK",TRUE,0.165177772620235,"CCES_023","BCN",319.240898095743,1569
3508113688,30.94291,-117.39261,2018-11-22 12:29:54,"B","0-2573570","UNLIMITED-TRACK",TRUE,0.164775779874325,"CCES_023","BCN",309.356631080201,1569
3508113689,30.94373,-117.39377,2018-11-22 12:58:29,"A","0-2569760","UNLIMITED-TRACK",TRUE,0.160458302333309,"CCES_023","BCN",292.874368379193,1569
3508113690,30.94377,-117.39388,2018-11-22 13:00:23,"B","0-2573570","UNLIMITED-TRACK",TRUE,0.163703109649941,"CCES_023","BCN",295.800161211494,1569
3508113691,30.94427,-117.39508,2018-11-22 13:26:36,"A","0-2569760","UNLIMITED-TRACK",TRUE,0.159573621599551,"CCES_023","BCN",292.874485473805,1569
3508113692,30.94431,-117.39519,2018-11-22 13:29:57,"B","0-2573570","UNLIMITED-TRACK",TRUE,0.1517478064837,"CCES_023","BCN",290.241629811674,1569
3508113693,30.94472,-117.39648,2018-11-22 13:56:37,"A","0-2569760","UNLIMITED-TRACK",TRUE,0.153803253763194,"CCES_023","BCN",284.771770619376,1569
3508113694,30.94477,-117.3967,2018-11-22 13:59:35,"B","0-2573570","UNLIMITED-TRACK",TRUE,0.166986546975094,"CCES_023","BCN",282.415693990437,1569
3508113695,30.94514,-117.39865,2018-11-22 14:27:53,"A","0-2569760","UNLIMITED-TRACK",TRUE,0.219777560246908,"CCES_023","BCN",291.143346637389,1569
